"version","experiment","variant","camera","file","bytes"
"v1","v1_A","g14p7","CAM_Main","v1\v1_A\g14p7\CAM_Main\v1_A_g14p7_CAM_Main_0001-0192.mp4","476989"
"v1","v1_A","g14p7","CAM_Side","v1\v1_A\g14p7\CAM_Side\v1_A_g14p7_CAM_Side_0001-0192.mp4","402683"
"v1","v1_A","g14p7","CAM_Top","v1\v1_A\g14p7\CAM_Top\v1_A_g14p7_CAM_Top_0001-0192.mp4","505555"
"v1","v1_A","g2","CAM_Main","v1\v1_A\g2\CAM_Main\v1_A_g2_CAM_Main_0001-0192.mp4","476769"
"v1","v1_A","g2","CAM_Side","v1\v1_A\g2\CAM_Side\v1_A_g2_CAM_Side_0001-0192.mp4","401099"
"v1","v1_A","g2","CAM_Top","v1\v1_A\g2\CAM_Top\v1_A_g2_CAM_Top_0001-0192.mp4","503196"
"v1","v1_A","g4p9","CAM_Main","v1\v1_A\g4p9\CAM_Main\v1_A_g4p9_CAM_Main_0001-0192.mp4","477780"
"v1","v1_A","g4p9","CAM_Side","v1\v1_A\g4p9\CAM_Side\v1_A_g4p9_CAM_Side_0001-0192.mp4","402543"
"v1","v1_A","g4p9","CAM_Top","v1\v1_A\g4p9\CAM_Top\v1_A_g4p9_CAM_Top_0001-0192.mp4","505859"
"v1","v1_A","g9p81","CAM_Main","v1\v1_A\g9p81\CAM_Main\v1_A_g9p81_CAM_Main_0001-0192.mp4","477209"
"v1","v1_A","g9p81","CAM_Side","v1\v1_A\g9p81\CAM_Side\v1_A_g9p81_CAM_Side_0001-0192.mp4","402090"
"v1","v1_A","g9p81","CAM_Top","v1\v1_A\g9p81\CAM_Top\v1_A_g9p81_CAM_Top_0001-0192.mp4","505475"
"v1","v1_B","e0p45","CAM_Main","v1\v1_B\e0p45\CAM_Main\v1_B_e0p45_CAM_Main_0001-0060.mp4","152020"
"v1","v1_B","e0p45","CAM_Side","v1\v1_B\e0p45\CAM_Side\v1_B_e0p45_CAM_Side_0001-0192.mp4","405035"
"v1","v1_B","e0p45","CAM_Top","v1\v1_B\e0p45\CAM_Top\v1_B_e0p45_CAM_Top_0001-0060.mp4","160967"
"v1","v1_B","e0p65","CAM_Main","v1\v1_B\e0p65\CAM_Main\v1_B_e0p65_CAM_Main_0001-0060.mp4","153346"
"v1","v1_B","e0p65","CAM_Side","v1\v1_B\e0p65\CAM_Side\v1_B_e0p65_CAM_Side_0001-0192.mp4","410362"
"v1","v1_B","e0p65","CAM_Top","v1\v1_B\e0p65\CAM_Top\v1_B_e0p65_CAM_Top_0001-0060.mp4","164075"
"v1","v1_B","e0p82","CAM_Main","v1\v1_B\e0p82\CAM_Main\v1_B_e0p82_CAM_Main_0001-0060.mp4","154000"
"v1","v1_B","e0p82","CAM_Side","v1\v1_B\e0p82\CAM_Side\v1_B_e0p82_CAM_Side_0001-0192.mp4","420352"
"v1","v1_B","e0p82","CAM_Top","v1\v1_B\e0p82\CAM_Top\v1_B_e0p82_CAM_Top_0001-0060.mp4","166481"
"v1","v1_B","e0p95","CAM_Main","v1\v1_B\e0p95\CAM_Main\v1_B_e0p95_CAM_Main_0001-0060.mp4","153715"
"v1","v1_B","e0p95","CAM_Side","v1\v1_B\e0p95\CAM_Side\v1_B_e0p95_CAM_Side_0001-0192.mp4","429929"
"v1","v1_B","e0p95","CAM_Top","v1\v1_B\e0p95\CAM_Top\v1_B_e0p95_CAM_Top_0001-0060.mp4","166531"
"v1","v1_C","mu0p04","CAM_Main","v1\v1_C\mu0p04\CAM_Main\v1_C_mu0p04_CAM_Main_0001-0192.mp4","485987"
"v1","v1_C","mu0p04","CAM_Side","v1\v1_C\mu0p04\CAM_Side\v1_C_mu0p04_CAM_Side_0001-0192.mp4","406256"
"v1","v1_C","mu0p04","CAM_Top","v1\v1_C\mu0p04\CAM_Top\v1_C_mu0p04_CAM_Top_0001-0192.mp4","509026"
"v1","v1_C","mu0p10","CAM_Main","v1\v1_C\mu0p10\CAM_Main\v1_C_mu0p10_CAM_Main_0001-0192.mp4","488688"
"v1","v1_C","mu0p10","CAM_Side","v1\v1_C\mu0p10\CAM_Side\v1_C_mu0p10_CAM_Side_0001-0192.mp4","410048"
"v1","v1_C","mu0p10","CAM_Top","v1\v1_C\mu0p10\CAM_Top\v1_C_mu0p10_CAM_Top_0001-0192.mp4","511579"
"v1","v1_C","mu0p18","CAM_Main","v1\v1_C\mu0p18\CAM_Main\v1_C_mu0p18_CAM_Main_0001-0192.mp4","477343"
"v1","v1_C","mu0p18","CAM_Side","v1\v1_C\mu0p18\CAM_Side\v1_C_mu0p18_CAM_Side_0001-0192.mp4","403716"
"v1","v1_C","mu0p18","CAM_Top","v1\v1_C\mu0p18\CAM_Top\v1_C_mu0p18_CAM_Top_0001-0192.mp4","511541"
"v1","v1_C","mu0p30","CAM_Main","v1\v1_C\mu0p30\CAM_Main\v1_C_mu0p30_CAM_Main_0001-0192.mp4","479388"
"v1","v1_C","mu0p30","CAM_Side","v1\v1_C\mu0p30\CAM_Side\v1_C_mu0p30_CAM_Side_0001-0192.mp4","407485"
"v1","v1_C","mu0p30","CAM_Top","v1\v1_C\mu0p30\CAM_Top\v1_C_mu0p30_CAM_Top_0001-0192.mp4","508835"
"v1","v1_D","gamma0p04","CAM_Main","v1\v1_D\gamma0p04\CAM_Main\v1_D_gamma0p04_CAM_Main_0001-0192.mp4","496532"
"v1","v1_D","gamma0p04","CAM_Side","v1\v1_D\gamma0p04\CAM_Side\v1_D_gamma0p04_CAM_Side_0001-0192.mp4","460070"
"v1","v1_D","gamma0p04","CAM_Top","v1\v1_D\gamma0p04\CAM_Top\v1_D_gamma0p04_CAM_Top_0001-0192.mp4","521137"
"v1","v1_D","gamma0p10","CAM_Main","v1\v1_D\gamma0p10\CAM_Main\v1_D_gamma0p10_CAM_Main_0001-0192.mp4","491417"
"v1","v1_D","gamma0p10","CAM_Side","v1\v1_D\gamma0p10\CAM_Side\v1_D_gamma0p10_CAM_Side_0001-0192.mp4","459248"
"v1","v1_D","gamma0p10","CAM_Top","v1\v1_D\gamma0p10\CAM_Top\v1_D_gamma0p10_CAM_Top_0001-0192.mp4","520368"
"v1","v1_D","gamma0p18","CAM_Main","v1\v1_D\gamma0p18\CAM_Main\v1_D_gamma0p18_CAM_Main_0001-0192.mp4","488762"
"v1","v1_D","gamma0p18","CAM_Side","v1\v1_D\gamma0p18\CAM_Side\v1_D_gamma0p18_CAM_Side_0001-0192.mp4","454244"
"v1","v1_D","gamma0p18","CAM_Top","v1\v1_D\gamma0p18\CAM_Top\v1_D_gamma0p18_CAM_Top_0001-0192.mp4","517583"
"v1","v1_D","gamma0p30","CAM_Main","v1\v1_D\gamma0p30\CAM_Main\v1_D_gamma0p30_CAM_Main_0001-0192.mp4","484940"
"v1","v1_D","gamma0p30","CAM_Side","v1\v1_D\gamma0p30\CAM_Side\v1_D_gamma0p30_CAM_Side_0001-0192.mp4","450422"
"v1","v1_D","gamma0p30","CAM_Top","v1\v1_D\gamma0p30\CAM_Top\v1_D_gamma0p30_CAM_Top_0001-0192.mp4","516256"
"v2","v2_A","g14p7","CAM_Main","v2\v2_A\g14p7\CAM_Main\v2_A_g14p7_CAM_Main_0001-0240.mp4","552953"
"v2","v2_A","g14p7","CAM_Side","v2\v2_A\g14p7\CAM_Side\v2_A_g14p7_CAM_Side_0001-0240.mp4","522353"
"v2","v2_A","g14p7","CAM_Top","v2\v2_A\g14p7\CAM_Top\v2_A_g14p7_CAM_Top_0001-0240.mp4","626922"
"v2","v2_A","g4p9","CAM_Main","v2\v2_A\g4p9\CAM_Main\v2_A_g4p9_CAM_Main_0001-0240.mp4","562172"
"v2","v2_A","g4p9","CAM_Side","v2\v2_A\g4p9\CAM_Side\v2_A_g4p9_CAM_Side_0001-0240.mp4","516388"
"v2","v2_A","g4p9","CAM_Top","v2\v2_A\g4p9\CAM_Top\v2_A_g4p9_CAM_Top_0001-0240.mp4","623802"
"v2","v2_A","g7p5","CAM_Main","v2\v2_A\g7p5\CAM_Main\v2_A_g7p5_CAM_Main_0001-0240.mp4","557434"
"v2","v2_A","g7p5","CAM_Side","v2\v2_A\g7p5\CAM_Side\v2_A_g7p5_CAM_Side_0001-0240.mp4","518464"
"v2","v2_A","g7p5","CAM_Top","v2\v2_A\g7p5\CAM_Top\v2_A_g7p5_CAM_Top_0001-0240.mp4","624665"
"v2","v2_A","g9p81","CAM_Main","v2\v2_A\g9p81\CAM_Main\v2_A_g9p81_CAM_Main_0001-0240.mp4","554037"
"v2","v2_A","g9p81","CAM_Side","v2\v2_A\g9p81\CAM_Side\v2_A_g9p81_CAM_Side_0001-0240.mp4","520265"
"v2","v2_A","g9p81","CAM_Top","v2\v2_A\g9p81\CAM_Top\v2_A_g9p81_CAM_Top_0001-0240.mp4","627284"
"v2","v2_B","e0p35","CAM_Main","v2\v2_B\e0p35\CAM_Main\v2_B_e0p35_CAM_Main_0001-0240.mp4","556121"
"v2","v2_B","e0p35","CAM_Side","v2\v2_B\e0p35\CAM_Side\v2_B_e0p35_CAM_Side_0001-0240.mp4","511682"
"v2","v2_B","e0p35","CAM_Top","v2\v2_B\e0p35\CAM_Top\v2_B_e0p35_CAM_Top_0001-0240.mp4","610224"
"v2","v2_B","e0p55","CAM_Main","v2\v2_B\e0p55\CAM_Main\v2_B_e0p55_CAM_Main_0001-0240.mp4","560502"
"v2","v2_B","e0p55","CAM_Side","v2\v2_B\e0p55\CAM_Side\v2_B_e0p55_CAM_Side_0001-0240.mp4","514925"
"v2","v2_B","e0p55","CAM_Top","v2\v2_B\e0p55\CAM_Top\v2_B_e0p55_CAM_Top_0001-0240.mp4","613648"
"v2","v2_B","e0p72","CAM_Main","v2\v2_B\e0p72\CAM_Main\v2_B_e0p72_CAM_Main_0001-0240.mp4","567938"
"v2","v2_B","e0p72","CAM_Side","v2\v2_B\e0p72\CAM_Side\v2_B_e0p72_CAM_Side_0001-0240.mp4","520376"
"v2","v2_B","e0p72","CAM_Top","v2\v2_B\e0p72\CAM_Top\v2_B_e0p72_CAM_Top_0001-0240.mp4","620245"
"v2","v2_B","e0p88","CAM_Main","v2\v2_B\e0p88\CAM_Main\v2_B_e0p88_CAM_Main_0001-0240.mp4","583256"
"v2","v2_B","e0p88","CAM_Side","v2\v2_B\e0p88\CAM_Side\v2_B_e0p88_CAM_Side_0001-0240.mp4","526350"
"v2","v2_B","e0p88","CAM_Top","v2\v2_B\e0p88\CAM_Top\v2_B_e0p88_CAM_Top_0001-0240.mp4","630833"
"v2","v2_C","mu0p12","CAM_Main","v2\v2_C\mu0p12\CAM_Main\v2_C_mu0p12_CAM_Main_0001-0240.mp4","594292"
"v2","v2_C","mu0p12","CAM_Side","v2\v2_C\mu0p12\CAM_Side\v2_C_mu0p12_CAM_Side_0001-0240.mp4","574156"
"v2","v2_C","mu0p12","CAM_Top","v2\v2_C\mu0p12\CAM_Top\v2_C_mu0p12_CAM_Top_0001-0240.mp4","694800"
"v2","v2_C","mu0p18","CAM_Main","v2\v2_C\mu0p18\CAM_Main\v2_C_mu0p18_CAM_Main_0001-0240.mp4","595377"
"v2","v2_C","mu0p18","CAM_Side","v2\v2_C\mu0p18\CAM_Side\v2_C_mu0p18_CAM_Side_0001-0240.mp4","572405"
"v2","v2_C","mu0p18","CAM_Top","v2\v2_C\mu0p18\CAM_Top\v2_C_mu0p18_CAM_Top_0001-0240.mp4","700575"
"v2","v2_C","mu0p24","CAM_Main","v2\v2_C\mu0p24\CAM_Main\v2_C_mu0p24_CAM_Main_0001-0240.mp4","587866"
"v2","v2_C","mu0p24","CAM_Side","v2\v2_C\mu0p24\CAM_Side\v2_C_mu0p24_CAM_Side_0001-0240.mp4","572609"
"v2","v2_C","mu0p24","CAM_Top","v2\v2_C\mu0p24\CAM_Top\v2_C_mu0p24_CAM_Top_0001-0240.mp4","698601"
"v2","v2_C","mu0p32","CAM_Main","v2\v2_C\mu0p32\CAM_Main\v2_C_mu0p32_CAM_Main_0001-0240.mp4","591231"
"v2","v2_C","mu0p32","CAM_Side","v2\v2_C\mu0p32\CAM_Side\v2_C_mu0p32_CAM_Side_0001-0240.mp4","574930"
"v2","v2_C","mu0p32","CAM_Top","v2\v2_C\mu0p32\CAM_Top\v2_C_mu0p32_CAM_Top_0001-0240.mp4","693663"
"v2","v2_D","gamma0p04","CAM_Main","v2\v2_D\gamma0p04\CAM_Main\v2_D_gamma0p04_CAM_Main_0001-0240.mp4","613630"
"v2","v2_D","gamma0p04","CAM_Side","v2\v2_D\gamma0p04\CAM_Side\v2_D_gamma0p04_CAM_Side_0001-0240.mp4","604532"
"v2","v2_D","gamma0p04","CAM_Top","v2\v2_D\gamma0p04\CAM_Top\v2_D_gamma0p04_CAM_Top_0001-0240.mp4","705548"
"v2","v2_D","gamma0p10","CAM_Main","v2\v2_D\gamma0p10\CAM_Main\v2_D_gamma0p10_CAM_Main_0001-0240.mp4","602251"
"v2","v2_D","gamma0p10","CAM_Side","v2\v2_D\gamma0p10\CAM_Side\v2_D_gamma0p10_CAM_Side_0001-0240.mp4","590867"
"v2","v2_D","gamma0p10","CAM_Top","v2\v2_D\gamma0p10\CAM_Top\v2_D_gamma0p10_CAM_Top_0001-0240.mp4","688438"
"v2","v2_D","gamma0p18","CAM_Main","v2\v2_D\gamma0p18\CAM_Main\v2_D_gamma0p18_CAM_Main_0001-0240.mp4","598507"
"v2","v2_D","gamma0p18","CAM_Side","v2\v2_D\gamma0p18\CAM_Side\v2_D_gamma0p18_CAM_Side_0001-0240.mp4","578287"
"v2","v2_D","gamma0p18","CAM_Top","v2\v2_D\gamma0p18\CAM_Top\v2_D_gamma0p18_CAM_Top_0001-0240.mp4","676377"
"v2","v2_D","gamma0p28","CAM_Main","v2\v2_D\gamma0p28\CAM_Main\v2_D_gamma0p28_CAM_Main_0001-0240.mp4","592478"
"v2","v2_D","gamma0p28","CAM_Side","v2\v2_D\gamma0p28\CAM_Side\v2_D_gamma0p28_CAM_Side_0001-0240.mp4","575256"
"v2","v2_D","gamma0p28","CAM_Top","v2\v2_D\gamma0p28\CAM_Top\v2_D_gamma0p28_CAM_Top_0001-0240.mp4","663344"
"v2","v2_E","e0p35","CAM_Main","v2\v2_E\e0p35\CAM_Main\v2_E_e0p35_CAM_Main_0001-0240.mp4","624528"
"v2","v2_E","e0p35","CAM_Side","v2\v2_E\e0p35\CAM_Side\v2_E_e0p35_CAM_Side_0001-0240.mp4","590314"
"v2","v2_E","e0p35","CAM_Top","v2\v2_E\e0p35\CAM_Top\v2_E_e0p35_CAM_Top_0001-0240.mp4","724898"
"v2","v2_E","e0p55","CAM_Main","v2\v2_E\e0p55\CAM_Main\v2_E_e0p55_CAM_Main_0001-0240.mp4","629957"
"v2","v2_E","e0p55","CAM_Side","v2\v2_E\e0p55\CAM_Side\v2_E_e0p55_CAM_Side_0001-0240.mp4","593077"
"v2","v2_E","e0p55","CAM_Top","v2\v2_E\e0p55\CAM_Top\v2_E_e0p55_CAM_Top_0001-0240.mp4","726049"
"v2","v2_E","e0p72","CAM_Main","v2\v2_E\e0p72\CAM_Main\v2_E_e0p72_CAM_Main_0001-0240.mp4","627422"
"v2","v2_E","e0p72","CAM_Side","v2\v2_E\e0p72\CAM_Side\v2_E_e0p72_CAM_Side_0001-0240.mp4","597681"
"v2","v2_E","e0p72","CAM_Top","v2\v2_E\e0p72\CAM_Top\v2_E_e0p72_CAM_Top_0001-0240.mp4","732726"
"v2","v2_E","e0p88","CAM_Main","v2\v2_E\e0p88\CAM_Main\v2_E_e0p88_CAM_Main_0001-0240.mp4","639321"
"v2","v2_E","e0p88","CAM_Side","v2\v2_E\e0p88\CAM_Side\v2_E_e0p88_CAM_Side_0001-0240.mp4","612953"
"v2","v2_E","e0p88","CAM_Top","v2\v2_E\e0p88\CAM_Top\v2_E_e0p88_CAM_Top_0001-0240.mp4","744303"
"v2","v2_F","gamma0p04","CAM_Main","v2\v2_F\gamma0p04\CAM_Main\v2_F_gamma0p04_CAM_Main_0001-0240.mp4","593935"
